id,row_index,status,reasons,recommendation,recommended_action,action_confidence,action_reason,action_risk
1,0,ok,[],keep,keep,0.9,No critical tabular issues detected.,low
2,1,ok,[],keep,keep,0.9,No critical tabular issues detected.,low
3,2,ok,[],keep,keep,0.9,No critical tabular issues detected.,low
4,3,ok,[],keep,keep,0.9,No critical tabular issues detected.,low
5,4,ok,[],keep,keep,0.9,No critical tabular issues detected.,low
6,5,warning,['missing_values'],fix_missing_values,fix_missing_values,0.8,Row contains missing values.,medium
7,6,warning,['outlier'],review_outlier,review_outlier,0.75,Row contains statistical outlier values.,medium
8,7,warning,['missing_values'],fix_missing_values,fix_missing_values,0.8,Row contains missing values.,medium
9,8,ok,[],keep,keep,0.9,No critical tabular issues detected.,low
10,9,ok,[],keep,keep,0.9,No critical tabular issues detected.,low
